6937,217,423
217,2,13
198,285,4
153,542,3
145,338,0
92,390,0
78,3,61
68,307,420
51,9,27
34,133,0
14,425,0
12,470,0
12,446,0
11,13,2
10,282,330
10,44,1
3,194,477
1,280,333
