Time Stamp: 4.587921, Centroid  X: 174, Y: 449
Time Stamp: 4.629629, Centroid  X: 174, Y: 449
Time Stamp: 4.671338, Centroid  X: 173, Y: 450
Time Stamp: 4.713046, Centroid  X: 173, Y: 450
Time Stamp: 4.754754, Centroid  X: 173, Y: 450
Time Stamp: 4.796463, Centroid  X: 173, Y: 450
Time Stamp: 4.838171, Centroid  X: 172, Y: 450
Time Stamp: 4.879879, Centroid  X: 172, Y: 451
Time Stamp: 4.921588, Centroid  X: 172, Y: 451
Time Stamp: 4.963296, Centroid  X: 173, Y: 451
Time Stamp: 5.005005, Centroid  X: 172, Y: 452
Time Stamp: 5.046713, Centroid  X: 173, Y: 452
Time Stamp: 5.088421, Centroid  X: 172, Y: 452
Time Stamp: 5.13013, Centroid  X: 172, Y: 452
Time Stamp: 5.171838, Centroid  X: 172, Y: 451
Time Stamp: 5.213546, Centroid  X: 172, Y: 452
Time Stamp: 5.255255, Centroid  X: 172, Y: 452
Time Stamp: 5.296963, Centroid  X: 172, Y: 452
Time Stamp: 5.338672, Centroid  X: 172, Y: 452
Time Stamp: 5.38038, Centroid  X: 172, Y: 452
Time Stamp: 5.422088, Centroid  X: 172, Y: 452
Time Stamp: 5.463797, Centroid  X: 172, Y: 452
Time Stamp: 5.505505, Centroid  X: 172, Y: 452
Time Stamp: 5.547213, Centroid  X: 171, Y: 453
Time Stamp: 5.588922, Centroid  X: 171, Y: 453
Time Stamp: 5.63063, Centroid  X: 170, Y: 453
Time Stamp: 5.672339, Centroid  X: 170, Y: 453
Time Stamp: 5.714047, Centroid  X: 170, Y: 454
Time Stamp: 5.755755, Centroid  X: 169, Y: 454
Time Stamp: 5.797464, Centroid  X: 169, Y: 454
Time Stamp: 5.839172, Centroid  X: 169, Y: 454
Time Stamp: 5.88088, Centroid  X: 169, Y: 454
Time Stamp: 5.922589, Centroid  X: 168, Y: 455
Time Stamp: 5.964297, Centroid  X: 168, Y: 455
Time Stamp: 6.006006, Centroid  X: 168, Y: 455
Time Stamp: 6.047714, Centroid  X: 167, Y: 456
Time Stamp: 6.089422, Centroid  X: 164, Y: 456
Time Stamp: 6.131131, Centroid  X: 164, Y: 456
Time Stamp: 6.172839, Centroid  X: 163, Y: 457
Time Stamp: 6.214547, Centroid  X: 163, Y: 457
Time Stamp: 6.256256, Centroid  X: 162, Y: 458
Time Stamp: 6.297964, Centroid  X: 161, Y: 458
Time Stamp: 6.339673, Centroid  X: 161, Y: 459
Time Stamp: 6.381381, Centroid  X: 160, Y: 459
Time Stamp: 6.423089, Centroid  X: 160, Y: 460
Time Stamp: 6.464798, Centroid  X: 159, Y: 460
Time Stamp: 6.506506, Centroid  X: 159, Y: 460
Time Stamp: 6.548214, Centroid  X: 159, Y: 461
Time Stamp: 6.589923, Centroid  X: 158, Y: 461
Time Stamp: 6.631631, Centroid  X: 158, Y: 461
Time Stamp: 6.67334, Centroid  X: 157, Y: 461
Time Stamp: 6.715048, Centroid  X: 157, Y: 462
Time Stamp: 6.756756, Centroid  X: 156, Y: 462
Time Stamp: 6.798465, Centroid  X: 155, Y: 463
Time Stamp: 6.840173, Centroid  X: 155, Y: 463
Time Stamp: 6.881881, Centroid  X: 154, Y: 463
Time Stamp: 6.92359, Centroid  X: 153, Y: 464
Time Stamp: 6.965298, Centroid  X: 152, Y: 464
Time Stamp: 7.007007, Centroid  X: 152, Y: 464
Time Stamp: 7.048715, Centroid  X: 151, Y: 465
Time Stamp: 7.090423, Centroid  X: 150, Y: 465
Time Stamp: 7.132132, Centroid  X: 149, Y: 465
Time Stamp: 7.17384, Centroid  X: 149, Y: 465
